year,carrier_name,delay_cause,delay_mins,percentage_delay
2004,American Eagle Airlines Inc.,security_delay,21305.0,0.0012
2004,American Eagle Airlines Inc.,weather_delay,779301.0,0.0444
2004,American Eagle Airlines Inc.,nas_delay,3109739.0,0.177
2004,American Eagle Airlines Inc.,late_aircraft_delay,2772970.0,0.1578
2004,Atlantic Coast Airlines,arr_delay,6069565.0,0.5
2004,Atlantic Coast Airlines,carrier_delay,1505972.0,0.1241
2004,Atlantic Coast Airlines,security_delay,4465.0,0.0004
2004,Atlantic Coast Airlines,weather_delay,315903.0,0.026
2004,Atlantic Coast Airlines,nas_delay,1840242.0,0.1516
2004,Atlantic Coast Airlines,late_aircraft_delay,2402983.0,0.198
2004,Atlantic Southeast Airlines,arr_delay,3050065.0,0.5
2004,Atlantic Southeast Airlines,carrier_delay,483823.0,0.0793
2004,Atlantic Southeast Airlines,security_delay,1211.0,0.0002
2004,Atlantic Southeast Airlines,weather_delay,110219.0,0.0181
2004,Atlantic Southeast Airlines,nas_delay,852702.0,0.1398
2004,Atlantic Southeast Airlines,late_aircraft_delay,1602110.0,0.2626
2004,Comair Inc.,arr_delay,2962291.0,0.5
2004,Comair Inc.,carrier_delay,954273.0,0.1611
2004,Comair Inc.,security_delay,6090.0,0.001
2004,Comair Inc.,weather_delay,648721.0,0.1095
2004,Comair Inc.,nas_delay,1072371.0,0.181
2004,Comair Inc.,late_aircraft_delay,280836.0,0.0474
2004,Continental Air Lines Inc.,arr_delay,3598014.0,0.5
2004,Continental Air Lines Inc.,carrier_delay,1522511.0,0.2116
2004,Continental Air Lines Inc.,security_delay,4207.0,0.0006
2004,Continental Air Lines Inc.,weather_delay,1141796.0,0.1587
2004,Continental Air Lines Inc.,nas_delay,853931.0,0.1187
2004,Continental Air Lines Inc.,late_aircraft_delay,75569.0,0.0105
2004,Delta Air Lines Inc.,arr_delay,3280465.0,0.5
2004,Delta Air Lines Inc.,carrier_delay,594016.0,0.0905
2004,Delta Air Lines Inc.,security_delay,14526.0,0.0022
2004,Delta Air Lines Inc.,weather_delay,161963.0,0.0247
2004,Delta Air Lines Inc.,nas_delay,1759975.0,0.2683
2004,Delta Air Lines Inc.,late_aircraft_delay,749985.0,0.1143
2004,ExpressJet Airlines Inc.,arr_delay,7159306.0,0.5
2004,ExpressJet Airlines Inc.,carrier_delay,1872757.0,0.1308
2004,ExpressJet Airlines Inc.,security_delay,8486.0,0.0006
2004,ExpressJet Airlines Inc.,weather_delay,215274.0,0.015
2004,ExpressJet Airlines Inc.,nas_delay,3046987.0,0.2128
2004,ExpressJet Airlines Inc.,late_aircraft_delay,2015802.0,0.1408
2004,Hawaiian Airlines Inc.,arr_delay,4164024.0,0.5
2004,Hawaiian Airlines Inc.,carrier_delay,684260.0,0.0822
2004,Hawaiian Airlines Inc.,security_delay,8765.0,0.0011
2004,Hawaiian Airlines Inc.,weather_delay,217338.0,0.0261
2004,Hawaiian Airlines Inc.,nas_delay,1987979.0,0.2387
2004,Hawaiian Airlines Inc.,late_aircraft_delay,1265682.0,0.152
2004,Independence Air,arr_delay,126084.0,0.5
2004,Independence Air,carrier_delay,81433.0,0.3229
2004,Independence Air,security_delay,1560.0,0.0062
2004,Independence Air,weather_delay,2334.0,0.0093
2004,Independence Air,nas_delay,3596.0,0.0143
2004,Independence Air,late_aircraft_delay,37161.0,0.1474
2004,JetBlue Airways,arr_delay,649844.0,0.5
2004,JetBlue Airways,carrier_delay,73435.0,0.0565
2004,JetBlue Airways,security_delay,1140.0,0.0009
2004,JetBlue Airways,weather_delay,6733.0,0.0052
2004,JetBlue Airways,nas_delay,129384.0,0.0996
2004,JetBlue Airways,late_aircraft_delay,439152.0,0.3379
2004,Northwest Airlines Inc.,arr_delay,686292.0,0.5
2004,Northwest Airlines Inc.,carrier_delay,154210.0,0.1124
2004,Northwest Airlines Inc.,security_delay,10773.0,0.0078
2004,Northwest Airlines Inc.,weather_delay,23151.0,0.0169
2004,Northwest Airlines Inc.,nas_delay,235533.0,0.1716
2004,Northwest Airlines Inc.,late_aircraft_delay,262625.0,0.1913
2004,SkyWest Airlines Inc.,arr_delay,4446344.0,0.5
2004,SkyWest Airlines Inc.,carrier_delay,1730413.0,0.1946
2004,SkyWest Airlines Inc.,security_delay,10878.0,0.0012
2004,SkyWest Airlines Inc.,weather_delay,388990.0,0.0437
2004,SkyWest Airlines Inc.,nas_delay,1570359.0,0.1766
2004,SkyWest Airlines Inc.,late_aircraft_delay,745704.0,0.0839
2004,Southwest Airlines Co.,arr_delay,3316913.0,0.5
2004,Southwest Airlines Co.,carrier_delay,1436896.0,0.2166
2004,Southwest Airlines Co.,security_delay,16002.0,0.0024
2004,Southwest Airlines Co.,weather_delay,348384.0,0.0525
2004,Southwest Airlines Co.,nas_delay,853762.0,0.1287
2004,Southwest Airlines Co.,late_aircraft_delay,661869.0,0.0998
2004,US Airways Inc.,arr_delay,8283068.0,0.5
2004,US Airways Inc.,carrier_delay,1607202.0,0.097
2004,US Airways Inc.,security_delay,29781.0,0.0018
2004,US Airways Inc.,weather_delay,315358.0,0.019
2004,US Airways Inc.,nas_delay,1260739.0,0.0761
2004,US Airways Inc.,late_aircraft_delay,5069988.0,0.306
2004,United Air Lines Inc.,arr_delay,3993825.0,0.5
2004,United Air Lines Inc.,carrier_delay,918228.0,0.115
2004,United Air Lines Inc.,security_delay,0.0,0.0
2004,United Air Lines Inc.,weather_delay,134736.0,0.0169
2004,United Air Lines Inc.,nas_delay,1370693.0,0.1716
2004,United Air Lines Inc.,late_aircraft_delay,1570168.0,0.1966
2005,ATA Airlines d/b/a ATA,arr_delay,5989292.0,0.5
2005,ATA Airlines d/b/a ATA,carrier_delay,1298340.0,0.1084
2005,ATA Airlines d/b/a ATA,security_delay,7113.0,0.0006
2005,ATA Airlines d/b/a ATA,weather_delay,137792.0,0.0115
2005,ATA Airlines d/b/a ATA,nas_delay,2486490.0,0.2076
2005,ATA Airlines d/b/a ATA,late_aircraft_delay,2059557.0,0.1719
2005,AirTran Airways Corporation,arr_delay,529528.0,0.5
2005,AirTran Airways Corporation,carrier_delay,94657.0,0.0894
2005,AirTran Airways Corporation,security_delay,1579.0,0.0015
2005,AirTran Airways Corporation,weather_delay,6358.0,0.006
2005,AirTran Airways Corporation,nas_delay,243746.0,0.2302
2005,AirTran Airways Corporation,late_aircraft_delay,183188.0,0.173
2005,Alaska Airlines Inc.,arr_delay,3329196.0,0.5
2005,Alaska Airlines Inc.,carrier_delay,452446.0,0.068
2005,Alaska Airlines Inc.,security_delay,0.0,0.0
2005,Alaska Airlines Inc.,weather_delay,28958.0,0.0043
2005,Alaska Airlines Inc.,nas_delay,1160215.0,0.1742
2005,Alaska Airlines Inc.,late_aircraft_delay,1687577.0,0.2535
2005,America West Airlines Inc.,arr_delay,2372745.0,0.5
2005,America West Airlines Inc.,carrier_delay,988046.0,0.2082
2005,America West Airlines Inc.,security_delay,13078.0,0.0028
2005,America West Airlines Inc.,weather_delay,30337.0,0.0064
2005,America West Airlines Inc.,nas_delay,325258.0,0.0685
2005,America West Airlines Inc.,late_aircraft_delay,1016026.0,0.2141
2005,American Airlines Inc.,arr_delay,1538798.0,0.5
2005,American Airlines Inc.,carrier_delay,602900.0,0.1959
2005,American Airlines Inc.,security_delay,6450.0,0.0021
2005,American Airlines Inc.,weather_delay,23952.0,0.0078
2005,American Airlines Inc.,nas_delay,448924.0,0.1459
2005,American Airlines Inc.,late_aircraft_delay,456572.0,0.1484
2005,American Eagle Airlines Inc.,arr_delay,8121218.0,0.5
2005,American Eagle Airlines Inc.,carrier_delay,2087047.0,0.1285
2005,American Eagle Airlines Inc.,security_delay,9103.0,0.0006
2005,American Eagle Airlines Inc.,weather_delay,592806.0,0.0365
2005,American Eagle Airlines Inc.,nas_delay,2723802.0,0.1677
2005,American Eagle Airlines Inc.,late_aircraft_delay,2708460.0,0.1668
2005,Atlantic Southeast Airlines,arr_delay,5807785.0,0.5
2005,Atlantic Southeast Airlines,carrier_delay,1520167.0,0.1309
